date,PriceUSD
06-09-2011,28.79054402
06-10-2011,24.04939923
06-11-2011,14.74974663
06-12-2011,18.85014473
6/13/2011,19.54232911
6/14/2011,19.25773551
6/15/2011,19.46414262
6/16/2011,17.92936254
6/17/2011,15.43636891
6/18/2011,16.87540454
6/19/2011,17.51071679
6/20/2011,17.51071679
6/21/2011,17.51071679
6/22/2011,17.51071679
6/23/2011,17.51071679
6/24/2011,17.51071679
6/25/2011,17.51071679
6/26/2011,16.36134202
6/27/2011,16.75228581
6/28/2011,16.96183531
6/29/2011,16.85456832
6/30/2011,16.18526278
07-01-2011,15.4203574
07-02-2011,15.38284407
07-03-2011,15.45755056
07-04-2011,13.85279681
07-05-2011,12.96481771
07-06-2011,14.71478358
07-07-2011,14.79728916
07-08-2011,14.2990377
07-09-2011,14.38150067
07-10-2011,14.62293755
07-11-2011,14.31015543
07-12-2011,14.02127262
7/13/2011,13.97145452
7/14/2011,13.99797455
7/15/2011,13.80639041
7/16/2011,13.7130793
7/17/2011,13.25813531
7/18/2011,13.63052125
7/19/2011,13.82479484
7/20/2011,13.67833059
7/21/2011,13.61180844
7/22/2011,13.69854733
7/23/2011,13.68171834
7/24/2011,13.99251518
7/25/2011,14.03342538
7/26/2011,13.87803232
7/27/2011,13.87822476
7/28/2011,13.49159108
7/29/2011,13.51231639
7/30/2011,13.54028067
7/31/2011,13.3729061
08-01-2011,13.01911385
08-02-2011,12.21415644
08-03-2011,9.286356914
08-04-2011,10.76850375
08-05-2011,9.73015396
08-06-2011,6.964169736
08-07-2011,8.501793292
08-08-2011,7.775337638
08-09-2011,9.802499481
08-10-2011,10.05125313
08-11-2011,9.438412995
08-12-2011,9.452993285
8/13/2011,10.00402474
8/14/2011,10.80682077
8/15/2011,11.13069655
8/16/2011,10.99196557
8/17/2011,10.96396406
8/18/2011,10.85847146
8/19/2011,11.67047304
8/20/2011,11.45973174
8/21/2011,11.35448134
8/22/2011,10.92089582
8/23/2011,10.91724505
8/24/2011,10.87044429
8/25/2011,9.546093674
8/26/2011,8.126920163
8/27/2011,8.596497607
8/28/2011,9.0308664
8/29/2011,8.961157271
8/30/2011,8.809948738
8/31/2011,8.199151764
09-01-2011,8.234281665
09-02-2011,8.621424438
09-03-2011,8.449653441
09-04-2011,8.203470602
09-05-2011,7.597332525
09-06-2011,6.846530029
09-07-2011,7.162970274
09-08-2011,6.67818
09-09-2011,4.986777042
09-10-2011,4.742846655
09-11-2011,5.852903973
09-12-2011,6.090629472
9/13/2011,5.802523277
9/14/2011,5.59743261
9/15/2011,4.867755185
9/16/2011,4.831168101
9/17/2011,4.775285635
9/18/2011,5.236732278
9/19/2011,5.520376692
9/20/2011,6.146665552
9/21/2011,5.597067498
9/22/2011,5.475048777
9/23/2011,5.56342142
9/24/2011,5.457889687
9/25/2011,5.341154881
9/26/2011,4.873826081
9/27/2011,4.911157793
9/28/2011,4.763415321
9/29/2011,4.777660978
9/30/2011,5.14368591
10-01-2011,5.034070545
10-02-2011,5.007062597
10-03-2011,5.02284486
10-04-2011,4.956805621
10-05-2011,4.885067131
10-06-2011,4.730166296
10-07-2011,4.276035757
10-08-2011,3.981252994
10-09-2011,4.111634643
10-10-2011,4.074962484
10-11-2011,4.008924496
10-12-2011,4.166235342
10/13/2011,4.03698109
10/14/2011,3.986280885
10/15/2011,3.83733856
10/16/2011,3.609741717
10/17/2011,2.581246722
10/18/2011,2.422274738
10/19/2011,2.217254713
10/20/2011,2.356123508
10/21/2011,2.570092305
10/22/2011,3.155486139
10/23/2011,3.14775093
10/24/2011,2.522935998
10/25/2011,2.801923831
10/26/2011,2.777505239
10/27/2011,3.045407828
10/28/2011,3.179639437
10/29/2011,3.569188969
10/30/2011,3.257403723
10/31/2011,3.265098213
11-01-2011,3.171007743
11-02-2011,3.255800567
11-03-2011,3.168316385
11-04-2011,3.120118172
11-05-2011,2.977817598
11-06-2011,2.962720577
11-07-2011,3.017757687
11-08-2011,3.056567111
11-09-2011,2.919567224
11-10-2011,2.856702085
11-11-2011,3.067861733
11-12-2011,3.025522996
11/13/2011,2.986373303
11/14/2011,2.224224464
11/15/2011,2.322384116
11/16/2011,2.546780931
11/17/2011,2.279095836
11/18/2011,2.105066003
11/19/2011,2.203456722
11/20/2011,2.20198951
11/21/2011,2.279879165
11/22/2011,2.322458596
11/23/2011,2.330323568
11/24/2011,2.438879
11/25/2011,2.496161003
11/26/2011,2.471799969
11/27/2011,2.477564951
11/28/2011,2.541240252
11/29/2011,2.757698483
11/30/2011,2.966041546
12-01-2011,3.08258945
12-02-2011,3.100402333
12-03-2011,2.803856185
12-04-2011,2.819693976
12-05-2011,2.874796227
12-06-2011,3.025360451
12-07-2011,2.985502421
12-08-2011,2.991880483
12-09-2011,2.955791952
12-10-2011,3.068975267
12-11-2011,3.249268847
12-12-2011,3.187335357
12/13/2011,3.241088409
12/14/2011,3.155086504
12/15/2011,3.203138541
12/16/2011,3.209137777
12/17/2011,3.192541704
12/18/2011,3.194010809
12/19/2011,3.525773919
12/20/2011,3.952550827
12/21/2011,3.888993251
12/22/2011,3.903060421
12/23/2011,3.937965076
12/24/2011,3.939419119
12/25/2011,4.233866878
12/26/2011,3.999121964
12/27/2011,4.095518546
12/28/2011,4.207295876
12/29/2011,4.173352227
12/30/2011,4.31063509
12/31/2011,4.714306331
01-01-2012,5.294842777
01-02-2012,5.204877892
01-03-2012,4.870508829
01-04-2012,5.585706267
01-05-2012,6.874000877
01-06-2012,6.68331664
01-07-2012,6.796227981
01-08-2012,7.096650566
01-09-2012,6.288538342
01-10-2012,6.528474555
01-11-2012,6.889127721
01-12-2012,6.773564196
1/13/2012,6.45436889
1/14/2012,6.761727143
1/15/2012,7.046922558
1/16/2012,6.715607667
1/17/2012,5.59962195
1/18/2012,5.900231288
1/19/2012,6.315706342
1/20/2012,6.501491988
1/21/2012,6.180568326
1/22/2012,6.302967227
1/23/2012,6.374876077
1/24/2012,6.274476476
1/25/2012,5.810465072
1/26/2012,5.367226954
1/27/2012,5.303137197
1/28/2012,5.659796775
1/29/2012,5.391429457
1/30/2012,5.503481939
1/31/2012,5.538220296
02-01-2012,6.075232652
02-02-2012,6.099572913
02-03-2012,5.951610928
02-04-2012,5.895413239
02-05-2012,5.678115717
02-06-2012,5.482664058
02-07-2012,5.6620277
02-08-2012,5.61852819
02-09-2012,5.835699854
02-10-2012,5.937834155
02-11-2012,5.612132853
02-12-2012,5.519097169
2/13/2012,5.348354559
2/14/2012,4.483654092
2/15/2012,4.325520322
2/16/2012,4.255239045
2/17/2012,4.391538373
2/18/2012,4.270081278
2/19/2012,4.389551458
2/20/2012,4.365135939
2/21/2012,4.315115602
2/22/2012,4.419310288
2/23/2012,5.039515118
2/24/2012,5.025608759
2/25/2012,4.772567381
2/26/2012,4.926420852
2/27/2012,4.952515756
2/28/2012,4.857257776
2/29/2012,4.872748756
03-01-2012,4.922072124
03-02-2012,4.714823587
03-03-2012,4.628193252
03-04-2012,4.834144482
03-05-2012,4.982392904
03-06-2012,4.987841352
03-07-2012,4.949112885
03-08-2012,4.934979495
03-09-2012,4.872297847
03-10-2012,4.841423805
03-11-2012,4.892028752
03-12-2012,4.910839379
3/13/2012,5.290880279
3/14/2012,5.390543292
3/15/2012,5.340820899
3/16/2012,5.339574791
3/17/2012,5.236003554
3/18/2012,5.270148985
3/19/2012,4.678672553
3/20/2012,4.830830216
3/21/2012,4.817229525
3/22/2012,4.729608505
3/23/2012,4.691643177
3/24/2012,4.651986266
3/25/2012,4.552270262
3/26/2012,4.63272236
3/27/2012,4.811340735
3/28/2012,4.790589392
3/29/2012,4.794066572
3/30/2012,4.861409357
3/31/2012,4.889776873
04-01-2012,4.793325677
04-02-2012,4.983045479
04-03-2012,4.956233193
04-04-2012,4.917842178
04-05-2012,4.920849245
04-06-2012,4.949107432
04-07-2012,4.70971191
04-08-2012,4.778818849
04-09-2012,4.852547381
04-10-2012,4.841417594
04-11-2012,4.915250717
04-12-2012,4.901158147
4/13/2012,4.934406733
4/14/2012,4.956364661
4/15/2012,4.961600338
4/16/2012,4.950764569
4/17/2012,4.968744508
4/18/2012,5.124377443
4/19/2012,5.130906511
4/20/2012,5.366515968
4/21/2012,5.282550339
4/22/2012,5.195608995
4/23/2012,5.110888192
4/24/2012,5.087867262
4/25/2012,5.148816245
4/26/2012,5.097419286
4/27/2012,5.09588734
4/28/2012,4.970736653
4/29/2012,4.902606178
4/30/2012,4.94211681
05-01-2012,4.987137227
05-02-2012,5.053437354
05-03-2012,5.118872979
05-04-2012,5.085507088
05-05-2012,5.056639565
05-06-2012,5.047800773
05-07-2012,5.067555867
05-08-2012,5.023466423
05-09-2012,5.041306236
05-10-2012,4.92748872
05-11-2012,4.963709977
05-12-2012,4.946532235
5/13/2012,4.944795054
5/14/2012,5.011435922
5/15/2012,5.0336404
5/16/2012,5.087784509
5/17/2012,5.089661686
5/18/2012,5.118301483
5/19/2012,5.112545811
5/20/2012,5.094200968
5/21/2012,5.09422131
5/22/2012,5.089139189
5/23/2012,5.1288589
5/24/2012,5.119157759
5/25/2012,5.137276807
5/26/2012,5.103978805
5/27/2012,5.134616135
5/28/2012,5.136325419
5/29/2012,5.148470698
5/30/2012,5.138264569
5/31/2012,5.181639721
06-01-2012,5.266943758
06-02-2012,5.24363906
06-03-2012,5.212704985
06-04-2012,5.258765857
06-05-2012,5.426014295
06-06-2012,5.446169422
06-07-2012,5.58716981
06-08-2012,5.622529102
06-09-2012,5.557002335
06-10-2012,5.457893569
06-11-2012,5.586996982
06-12-2012,5.727491299
6/13/2012,5.909301324
6/14/2012,5.962023182
6/15/2012,6.523380719
6/16/2012,6.444158282
6/17/2012,6.199966488
6/18/2012,6.310844669
6/19/2012,6.494826716
6/20/2012,6.693551056
6/21/2012,6.672262504
6/22/2012,6.563761698
6/23/2012,6.447541689
6/24/2012,6.350494039
6/25/2012,6.31747363
6/26/2012,6.432860829
6/27/2012,6.615713402
6/28/2012,6.590064633
6/29/2012,6.658776757
6/30/2012,6.680427623
07-01-2012,6.626860092
07-02-2012,6.743478051
07-03-2012,6.449992403
07-04-2012,6.514835333
07-05-2012,6.642398604
07-06-2012,6.672181189
07-07-2012,6.808273712
07-08-2012,6.796317688
07-09-2012,7.032395886
07-10-2012,7.178580036
07-11-2012,7.185147789
07-12-2012,7.55593565
7/13/2012,7.630921256
7/14/2012,7.580129178
7/15/2012,7.62723486
7/16/2012,8.493405677
7/17/2012,8.751984855
7/18/2012,9.095192686
7/19/2012,8.879533414
7/20/2012,8.532450679
7/21/2012,8.875645841
7/22/2012,8.506562544
