No,CP,HighVTL20days,Cycle20,LowVTL20days,HighVTL80days,Cycle80,LowVTL80days,HighVTL360days,Cycle320,LowVTL360days,20 Day FLD
123,0.241939334,0.477304861,  ,0.230018482,NA,  ,NA,NA,  ,NA,0.260377693
124,0.269057791,0.484243275,  ,0.235036965,NA,  ,NA,NA,  ,NA,0.268667693
125,0.27829,0.49118169,  ,0.240055447,NA,  ,NA,NA,  ,NA,0.273644177
126,0.283015965,0.498120104,  ,0.245073929,NA,  ,NA,NA,  ,NA,0.274579391
127,0.27675,0.505058518,  ,0.250092412,NA,  ,NA,NA,  ,NA,0.256981161
128,0.285,0.511996933,HIGH,0.255110894,NA,  ,NA,NA,  ,NA,0.247175094
129,0.28295,0.518935347,  ,0.260129376,NA,  ,NA,NA,  ,NA,0.249762411
130,0.282905736,0.525873761,  ,0.265147859,NA,  ,NA,NA,  ,NA,0.255864141
131,0.28,0.532812176,  ,0.270166341,NA,  ,NA,NA,  ,NA,0.261210765
132,0.2844,0.53975059,  ,0.275184823,NA,  ,NA,NA,  ,NA,0.266575765
133,0.283,0.546689004,  ,0.280203306,NA,  ,NA,NA,  ,NA,0.268255765
134,0.271358679,0.553627419,  ,0.285221788,NA,  ,NA,NA,  ,NA,0.268950765
135,0.230559456,0.560565833,  ,0.29024027,NA,  ,NA,NA,  ,NA,0.269337338
136,0.2082,0.567504247,  ,0.295258753,NA,  ,NA,NA,  ,NA,0.270490883
137,0.2275,0.574442662,  ,0.300277235,NA,  ,NA,NA,  ,NA,0.276430883
138,0.255,0.581381076,  ,0.305295717,NA,  ,NA,NA,  ,NA,0.280536949
139,0.251060084,0.58831949,  ,0.3103142,NA,  ,NA,NA,  ,NA,0.280767038
140,0.205000526,0.595257905,  ,0.315332682,NA,  ,NA,NA,  ,NA,0.275993984
141,0.202850018,0.602196319,  ,0.320351164,NA,  ,NA,NA,  ,NA,0.268512387
142,0.204,0.609134733,  ,0.325369647,NA,  ,NA,NA,  ,NA,0.263587387
143,0.233420386,0.616073148,  ,0.330388129,NA,  ,NA,NA,  ,NA,0.260587387
144,0.2388,0.2388,  ,0.335406611,NA,  ,NA,NA,  ,NA,0.257398396
145,0.199991694,0.233731803,LOW,0.199991694,NA,LOW,0.199991694,NA,  ,NA,0.249607875
146,0.204,0.228663606,  ,0.199415661,NA,  ,0.202135158,NA,  ,NA,0.241892876
147,0.228,0.223595409,  ,0.198839627,NA,  ,0.204278622,NA,  ,NA,0.233852876
148,0.219853612,0.218527212,  ,0.198263594,NA,  ,0.206422086,NA,  ,NA,0.228894915
149,0.227605237,0.213459015,  ,0.197687561,NA,  ,0.20856555,NA,  ,NA,0.225639047
150,0.24669,0.208390818,  ,0.197111527,NA,  ,0.210709014,NA,  ,NA,0.222582271
151,0.24,0.203322621,  ,0.196535494,NA,  ,0.212852478,NA,  ,NA,0.222162271
152,0.24996,0.198254424,  ,0.195959461,NA,  ,0.214995942,NA,  ,NA,0.222212271
153,0.242655815,0.193186227,  ,0.195383427,NA,  ,0.217139406,NA,  ,NA,0.218697632
154,0.241,0.18811803,  ,0.194807394,NA,  ,0.21928287,NA,  ,NA,0.216352147
