"","CP","VTL20days","start_end_20","Upcross20","VTL80days","start_end_80","Upcross80","VTL360days","start_end_360","Upcross360"
"263","0.74","0.840187131310344",NA,NA,"1.44522585535714",NA,NA,NA,NA,NA
"264","0.7538","0.836555225586206",NA,NA,"1.45214137557143",NA,NA,NA,NA,NA
"265","0.74999","0.832923319862068",NA,NA,"1.45905689578571",NA,NA,NA,NA,NA
"266","0.734060517","0.829291414137931",NA,NA,"1.465972416",NA,NA,NA,NA,NA
"267","0.733156821","0.825659508413793",NA,NA,"1.47288793621428",NA,NA,NA,NA,NA
"268","0.770113933","0.822027602689655",NA,NA,"1.47980345642857",NA,NA,NA,NA,NA
"269","0.861381608","0.818395696965517",NA,"Upcross","1.48671897664285",NA,NA,NA,NA,NA
"270","0.930320058","0.814763791241379",NA,NA,"1.49363449685714",NA,NA,NA,NA,NA
"271","0.998629766","0.811131885517241",NA,NA,"1.50055001707142",NA,NA,NA,NA,NA
"272","0.983673137","0.807499979793103",NA,NA,"1.50746553728571",NA,NA,NA,NA,NA
"273","1.046632858","0.803868074068965",NA,NA,"1.5143810575",NA,NA,NA,NA,NA
"274","1.098122098","0.800236168344827",NA,NA,"1.52129657771428",NA,NA,NA,NA,NA
"275","1.149433312","0.796604262620689",NA,NA,"1.52821209792857",NA,NA,NA,NA,NA
"276","1.185162221","0.792972356896551",NA,NA,"1.53512761814285",NA,NA,NA,NA,NA
"277","1.142125985","0.789340451172413",NA,NA,"1.54204313835714",NA,NA,NA,NA,NA
"278","1.207338872","0.785708545448275",NA,NA,"1.54895865857142",NA,NA,NA,NA,NA
"279","1.404505082","0.782076639724137",NA,NA,"1.55587417878571",NA,NA,NA,NA,NA
"280","1.828852301","0.778444733999999",NA,NA,"1.562789699",NA,"Upcross",NA,NA,NA
"281","1.63198422","0.774812828275861",NA,NA,"1.56970521921428",NA,NA,NA,NA,NA
"282","1.564483635","0.771180922551723",NA,NA,"1.57662073942857",NA,NA,NA,NA,NA
"283","1.77084089","0.767549016827585",NA,NA,"1.58353625964285",NA,NA,NA,NA,NA
"284","1.903175959","0.763917111103447",NA,NA,"1.59045177985714",NA,NA,NA,NA,NA
"285","2.285744466","0.760285205379309",NA,NA,"1.59736730007142",NA,NA,NA,NA,NA
"286","2.85060509","0.756653299655171",NA,NA,"1.60428282028571",NA,NA,NA,NA,NA
"287","3.5","0.753021393931033",NA,NA,"1.6111983405",NA,NA,NA,NA,NA
"288","3.094227553","0.749389488206895",NA,NA,"1.61811386071428",NA,NA,NA,NA,NA
