"","CP","VTL20days","VTL80days","VTL360days"
"404",9.546093674,0.297818221999998,55.850907139091,NA
"405",8.126920163,-0.0530423840000022,56.3989226125455,NA
"406",8.596497607,-0.403902990000002,56.9469380860001,NA
"407",9.0308664,-0.754763596000002,57.4949535594546,NA
"408",8.961157271,-1.105624202,58.0429690329092,NA
"409",8.809948738,-1.456484808,58.5909845063637,NA
"410",8.199151764,-1.807345414,59.1389999798183,NA
"411",8.234281665,-2.15820602,59.6870154532728,NA
"412",8.621424438,-2.509066626,60.2350309267274,NA
"413",8.449653441,-2.859927232,60.7830464001819,NA
"414",8.203470602,-3.210787838,61.3310618736365,NA
"415",7.597332525,-3.561648444,61.879077347091,NA
"416",6.846530029,-3.91250905,62.4270928205456,NA
"417",7.162970274,-4.263369656,62.9751082940001,NA
"418",6.67818,-4.614230262,63.5231237674547,NA
"419",4.986777042,-4.965090868,64.0711392409092,NA
"420",4.742846655,4.742846655,64.6191547143637,NA
"421",5.852903973,4.67938028125714,65.1671701878183,NA
"422",6.090629472,4.61591390751429,65.7151856612728,NA
"423",5.802523277,4.55244753377143,66.2632011347274,NA
"424",5.59743261,4.48898116002857,66.8112166081819,NA
"425",4.867755185,4.42551478628571,67.3592320816364,NA
"426",4.831168101,4.36204841254286,67.907247555091,NA
"427",4.775285635,4.2985820388,68.4552630285455,NA
"428",5.236732278,4.23511566505714,69.0032785020001,NA
"429",5.520376692,4.17164929131429,69.5512939754546,NA
"430",6.146665552,4.10818291757143,70.0993094489092,NA
"431",5.597067498,4.04471654382857,70.6473249223637,NA
"432",5.475048777,3.98125017008571,71.1953403958182,NA
"433",5.56342142,3.91778379634286,71.7433558692728,NA
"434",5.457889687,3.8543174226,72.2913713427273,NA
"435",5.341154881,3.79085104885714,72.8393868161819,NA
"436",4.873826081,3.72738467511429,73.3874022896364,NA
"437",4.911157793,3.66391830137143,73.9354177630909,NA
"438",4.763415321,3.60045192762857,74.4834332365455,NA
"439",4.777660978,3.53698555388571,75.03144871,NA
"440",5.14368591,3.47351918014286,75.5794641834546,NA
"441",5.034070545,3.4100528064,76.1274796569091,NA
"442",5.007062597,3.34658643265714,76.6754951303636,NA
"443",5.02284486,3.28312005891429,77.2235106038182,NA
"444",4.956805621,3.21965368517143,77.7715260772727,NA
"445",4.885067131,3.15618731142857,78.3195415507273,NA
"446",4.730166296,3.09272093768571,78.8675570241818,NA
"447",4.276035757,3.02925456394286,79.4155724976363,NA
"448",3.981252994,2.9657881902,79.9635879710909,NA
"449",4.111634643,2.90232181645714,80.5116034445454,NA
"450",4.074962484,2.83885544271429,81.059618918,NA
"451",4.008924496,2.77538906897143,81.6076343914545,NA
"452",4.166235342,2.71192269522857,82.1556498649091,NA
"453",4.03698109,2.64845632148571,82.7036653383636,NA
"454",3.986280885,2.58498994774286,83.2516808118181,NA
"455",3.83733856,2.521523574,83.7996962852727,NA
"456",3.609741717,2.45805720025714,84.3477117587272,NA
"457",2.581246722,2.39459082651429,84.8957272321818,NA
"458",2.422274738,2.33112445277143,85.4437427056363,NA
"459",2.217254713,2.217254713,85.9917581790908,NA
"460",2.356123508,2.15249594525641,86.5397736525454,NA
"461",2.570092305,2.08773717751282,87.0877891259999,NA
"462",3.155486139,2.02297840976923,87.6358045994545,NA
"463",3.14775093,1.95821964202564,88.183820072909,NA
"464",2.522935998,1.89346087428205,88.7318355463635,NA
"465",2.801923831,1.82870210653846,89.2798510198181,NA
"466",2.777505239,1.76394333879487,89.8278664932726,NA
"467",3.045407828,1.69918457105128,90.3758819667272,NA
"468",3.179639437,1.63442580330769,90.9238974401817,NA
