No,CP,Cycle20,Cycle80,Cycle320
408,8.961157271,  ,  ,  
409,8.809948738,  ,  ,  
410,8.199151764,  ,  ,  
411,8.234281665,  ,  ,  
412,8.621424438,  ,  ,  
413,8.449653441,  ,  ,  
414,8.203470602,  ,  ,  
415,7.597332525,  ,  ,  
416,6.846530029,  ,  ,  
417,7.162970274,  ,  ,  
418,6.67818,  ,  ,  
419,4.986777042,  ,  ,  
420,4.742846655,LOW,  ,  
421,5.852903973,  ,  ,  
422,6.090629472,  ,  ,  
423,5.802523277,  ,  ,  
424,5.59743261,  ,  ,  
425,4.867755185,  ,  ,  
426,4.831168101,  ,  ,  
427,4.775285635,  ,  ,  
428,5.236732278,  ,  ,  
429,5.520376692,  ,  ,  
430,6.146665552,HIGH,  ,  
431,5.597067498,  ,  ,  
432,5.475048777,  ,  ,  
433,5.56342142,  ,  ,  
434,5.457889687,  ,  ,  
435,5.341154881,  ,  ,  
436,4.873826081,  ,  ,  
437,4.911157793,  ,  ,  
438,4.763415321,LOW*,  ,  
439,4.777660978,  ,  ,  
440,5.14368591,HIGH*,  ,  
441,5.034070545,  ,  ,  
442,5.007062597,  ,  ,  
443,5.02284486,  ,  ,  
444,4.956805621,  ,  ,  
445,4.885067131,  ,  ,  
446,4.730166296,  ,  ,  
447,4.276035757,  ,  ,  
448,3.981252994,  ,  ,  
449,4.111634643,  ,,  
450,4.074962484,  ,  ,  
451,4.008924496,  ,  ,  
452,4.166235342,  ,  ,  
453,4.03698109,  ,  ,  
454,3.986280885,  ,  ,  
455,3.83733856,  ,  ,  
456,3.609741717,  ,  ,  
457,2.581246722,  ,  ,  
458,2.422274738,  ,  ,  
459,2.217254713,LOW,  ,  
460,2.356123508,  ,  ,  
461,2.570092305,  ,  ,  
462,3.155486139,  ,  ,  
463,3.14775093,  ,  ,  
464,2.522935998,  ,  ,  
465,2.801923831,  ,  ,  
466,2.777505239,  ,  ,  
467,3.045407828,  ,  ,  
468,3.179639437,  ,  ,  
469,3.569188969,HIGH,  ,  
470,3.257403723,  ,  ,  
471,3.265098213,  ,  ,  
472,3.171007743,  ,  ,  
473,3.255800567,  ,  ,  
474,3.168316385,  ,  ,  
475,3.120118172,  ,  ,  
476,2.977817598,  ,  ,  
477,2.962720577,  ,  ,  
478,3.017757687,  ,  ,  
479,3.056567111,  ,  ,  
480,2.919567224,  ,  ,  
481,2.856702085,  ,  ,  
482,3.067861733,  ,  ,  
